term,coef,std_error,z,p_value,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
touches_documentation,0.15121615557403859,0.037677058407359965,4.013480934183002,5.98298371898283e-05,1.163248073463492,1.080442282406552,1.2524001535765146
log1p_stars,-0.08246333777920134,0.021849468440732295,-3.7741576186572687,0.00016054923469818996,0.9208451974679006,0.8822432132494954,0.9611361866718012
C(language_group)[T.Rust],0.37640628235432116,0.10275772901978558,3.6630459425766957,0.00024923381577589656,1.4570389827622985,1.1912519755183901,1.7821272416905385
C(task_type)[T.docs],0.43817935995175605,0.13757820190491507,3.184947570797564,0.0014478023587363793,1.5498828694078237,1.1835649631373908,2.0295775759669765
C(task_type)[T.feat],-0.3918310222763578,0.12746386004810217,-3.0740558314214637,0.00211169909199765,0.6758183025510511,0.5264201623851792,0.8676156627313917
touches_core_source,-0.12685888145184862,0.04211181354337045,-3.012429785793912,0.002591653828759233,0.8808579692244154,0.8110735655343214,0.9566465915271253
C(task_type)[T.test],-0.31717553710040935,0.14036201244928073,-2.25969642046148,0.02384009862102352,0.7282029172772789,0.5530648436935905,0.958801657306074
C(task_type)[T.refactor],-0.28913469725152946,0.1377036753217504,-2.0996875833266913,0.03575633255989413,0.7489113223117296,0.57176401071004,0.9809434630035464
C(task_type)[T.ci],-0.4181171271946888,0.20578798276180196,-2.031785926385489,0.04217533256304958,0.6582851208197096,0.43979166103236,0.9853285968983718
touches_build_config,-0.09760460441814722,0.05192720845379948,-1.8796428177915188,0.06015677360804059,0.9070074596057854,0.819238472084949,1.0041795640857505
C(task_type)[T.chore],-0.2365666628595388,0.15037795043030974,-1.5731472744680868,0.11568472063702209,0.7893332613357266,0.587839087193046,1.0598937890060485
C(task_type)[T.fix],-0.1993556685193038,0.1284125764204319,-1.5524621814813462,0.1205516749674915,0.8192584570662933,0.6369655583058673,1.05372168200081
touches_tests,-0.05445864321522454,0.03973161530808986,-1.3706627025590896,0.1704801267116759,0.9469976728269095,0.8760508180404181,1.0236901488723988
log1p_files_changed,0.02544211040638649,0.022394677959920596,1.1360784223787381,0.2559237447181062,1.0257685232286797,0.9817185193985979,1.0717950639164129
C(task_type)[T.revert],0.6058666393308251,0.7023165248787553,0.8626689218731101,0.3883195242301254,1.8328399319669149,0.4627129224152977,7.260013830340831
C(agent)[T.OpenAI_Codex],-0.09286193062542661,0.13170245839030278,-0.7050888173266172,0.48075496526096184,0.9113193168983517,0.7039879737258381,1.179711768308574
C(task_type)[T.style],-0.15080476705710624,0.24116261578804593,-0.6253239813489426,0.5317584435613072,0.8600155856438569,0.5360784276250259,1.379698882544286
C(agent)[T.Cursor],-0.08589215118758389,0.14366787573432455,-0.5978521694468326,0.549938577095427,0.9176931980048971,0.6924799368748374,1.2161519212601708
is_issue_linked,0.02793558206548209,0.07004945737510153,0.39879797948886825,0.6900420659632898,1.0283294394292732,0.8964087000784818,1.179664405203052
